T?NG H?P CÁC S?N PH?M C?A PAULA'S CHOICE SKINCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã S?n Ph?m ,Tên Ti?ng Anh,Tên Ti?ng Vi?t ,Tên nhãn hàng,Dung tích,giá bán l? niêm y?t,Th?i h?n s? d?ng,Công d?ng,H??ng d?n s? d?ng,Hình ?nh,Xu?t x?,LINK TRANG WEB PC VN,SÔ CÔNG B?,Note,,,,,,,,,,,,,,,,,,
116,8500,Earth Sourced Perfectly Natural Cleansing Gel ,PAULA'S CHOICE Gel r?a m?t ngu?n g?c thiên nhiên,PAULA'S CHOICE,198ml,"635,500",24 tháng,"CÔNG D?NG:
S?a r?a m?t nh? nhàng Perfectly Natural Cleansing Gel v?i 98% thành ph?n t? nhiên giúp lo?i b? t?p ch?t và l?p trang ?i?m, ??ng th?i mang l?i c?m giác m?m m?i t??i mát cho làn da.

Không gây ?ng ?? hay khô da
Th? giãn v?i k?t c?u gel không khi?n làn da khô ho?c hay b? c?ng
S? d?ng nh? b??c ??u tiên trong quy trình ch?m sóc da AM / PM c?a b?n","H??NG D?N S? D?NG
Sau khi r?a m?t, thoa toner lên mi?ng bông và nh? nhàng vu?t lên m?t và c?. Không r?a s?ch. Th?c hi?n theo ph?n còn l?i c?a thói quen ch?m sóc da bu?i sáng ho?c bu?i t?i c?a b?n. ??i v?i ban ngày, k?t thúc v?i kem ch?ng n?ng ph? r?ng ???c x?p h?ng SPF 30 ho?c cao h?n",https://drive.google.com/drive/folders/1e5YJerZUzVurnxPU-W-N5OMQ7EcPfvFo,Xu?t x? : M?,https://paulaschoice.vn/perfectly-natural-cleansing-gel,,,,,,,,,,,,,,,,,,,,
117,8510,Earth Sourced Purely Natural Refreshing Toner,PAULA'S CHOICE Toner tinh khi?t ngu?n g?c thiên nhiên ,PAULA'S CHOICE,118ml,"711,500",24 tháng,"CÔNG D?NG: 
Các thành ph?n t? nhiên ???c ch?n l?c ?? mang l?i l?i ích làm m?n da và d??ng da.
Toner này không ch?a b?t kì lo?i thành ph?n có ngu?n g?c ??ng v?t
Là m?t trong nh?ng ch?t r?t quan tr?ng ?? duy trì làn da kh?e m?nh và tr? trun","H??NG D?N S? D?NG

Sau khi r?a m?t, thoa toner lên mi?ng bông và nh? nhàng vu?t lên m?t và c?. Không r?a l?i m?t. Th?c hi?n sau khi r?a m?t và ti?p t?c ph?n còn l?i c?a thói quen ch?m sóc da bu?i sáng ho?c bu?i t?i c?a b?n. ??i v?i ban ngày, k?t thúc v?i kem ch?ng n?ng SPF 30 ho?c cao h?n",https://drive.google.com/drive/folders/1SNq_vlY4CbD4BdA3hX4wwXEBzSvdicA8,Xu?t x? : M?,https://paulaschoice.vn/purely-natural-refreshing-toner,https://imgur.com/a/bhHpq2F,,,,,,,,,,,,,,,,,,,
118,8520,Earth Sourced Antioxidant Enriched Natural Moisturizer ,PAULA'S CHOICE Kem d??ng ?m ngu?n g?c thiên nhiên ch?ng oxy hóa,PAULA'S CHOICE,60ml,"909,500",24 tháng,"CÔNG D?NG: 
Kem d??ng da d?u nh? v?i công th?c c?i ti?n m?i. Không nh?ng d??ng ?m làn da, s?n ph?m này còn k?t h?p lo?i b? ch?ng lão hóa v?i các thành ph?n ch?ng oxy hóa và b? sung các thành ph?n c?n thi?t cho da.

98% công th?c hoàn toàn t? nhiên
??i m?i và tr? hóa làn da
Kem d??ng làm m?n và s?n ch?c da
Dành cho m?i lo?i da
S? d?ng nh? b??c cu?i cùng trong quy trình ch?m sóc da c?a b?n
","H??NG D?N S? D?NG
S? d?ng s?n ph?m là b??c cu?i cùng trong quy trình d??ng da vào ban ?êm. Phù h?p ?? làm m?m m?n vùng m?t, c? và m?t. ??i v?i s? d?ng s?n ph?m vào ban ngày, chú ý s? d?ng thêm s?n ph?m ch?ng n?ng SPF 30 ho?c cao h?n",https://drive.google.com/drive/folders/1LnH2bAUbBJ3hEdhUaoVE8k8-ZW2YafMH,Xu?t x? : M?,https://paulaschoice.vn/antioxidant-enriched-natural-moisturizer,,,,,,,,,,,,,,,,,,,,
119,9100,Calm 1% BHA Lotion Exfoliant,PAULA'S CHOICE Lo?i b? t? bào ch?t d?u nh? ch?a 1% BHA,PAULA'S CHOICE,100ml,"910,000",24 tháng,"CÔNG D?NG: 

- Lo?i b? t? bào ch?t d?u nh?, an toàn cho da nh?y c?m
- Gi?m viêm, ?ng ?? da
- Tái t?o t? bào hi?u qu? 
- Lo?i b? d?u th?a trên da và b?i b?n tích t? sâu trong l? chân lông 

CALM Redness Relief 1% BHA Lotion Exfoliant là s?n ph?m hoàn toàn d?u nh?, không ch?a tính bào mòn da, d? dàng th?m th?u và lo?i b? t? bào ch?t sâu bên trong l? chân lông, tr? l?i cho b?n làn da t??i tr? nhanh chóng. ?ây là s?n ph?m hoàn h?o dành cho nh?ng ai s? h?u làn da nh?y c?m, có mong mu?n thu nh? l? chân lông, gi?m n?p nh?n và làm d?u da ?ng ??.

PHÙ H?P V?I LO?I DA: M?i lo?i da và da có v?n ?? nh?y c?m","H??NG D?N S? D?NG

Dùng sau khi dùng s?a r?a
m?t và toner. S? d?ng m?t l??ng b?ng h?t ??u
cho toàn b? khuôn m?t, bao g?m c? vùng m?t
(gi? s?n ph?m tránh xa vùng mi m?t và lông mi)
và không c?n r?a l?i v?i n??c. Vào ban ngày, s?
d?ng kem ch?ng n?ng có ch? s? SPF 30 ho?c
cao h?n.",https://drive.google.com/drive/folders/1ii9EWbJfERsIsYZtiLaKMzik6ivq-c8z,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-1-bha-lotion-exfoliant,https://imgur.com/a/zlwIDCy,,,,,,,,,,,,,,,,,,,
120,9107,Calm 1% BHA Lotion Exfoliant - Trial,PAULA'S CHOICE Lo?i b? t? bào ch?t d?u nh? ch?a 1% BHA - Lo?i nh?,PAULA'S CHOICE,30ml,"339,000",24 tháng,"CÔNG D?NG: 

- Lo?i b? t? bào ch?t d?u nh?, an toàn cho da nh?y c?m
- Gi?m viêm, ?ng ?? da
- Tái t?o t? bào hi?u qu? 
- Lo?i b? d?u th?a trên da và b?i b?n tích t? sâu trong l? chân lông 

CALM Redness Relief 1% BHA Lotion Exfoliant là s?n ph?m hoàn toàn d?u nh?, không ch?a tính bào mòn da, d? dàng th?m th?u và lo?i b? t? bào ch?t sâu bên trong l? chân lông, tr? l?i cho b?n làn da t??i tr? nhanh chóng. ?ây là s?n ph?m hoàn h?o dành cho nh?ng ai s? h?u làn da nh?y c?m, có mong mu?n thu nh? l? chân lông, gi?m n?p nh?n và làm d?u da ?ng ??.

PHÙ H?P V?I LO?I DA: M?i lo?i da và da có v?n ?? nh?y c?m","H??NG D?N S? D?NG

Dùng sau khi dùng s?a r?a
m?t và toner. S? d?ng m?t l??ng b?ng h?t ??u
cho toàn b? khuôn m?t, bao g?m c? vùng m?t
(gi? s?n ph?m tránh xa vùng mi m?t và lông mi)
và không c?n r?a l?i v?i n??c. Vào ban ngày, s?
d?ng kem ch?ng n?ng có ch? s? SPF 30 ho?c
cao h?n.",https://drive.google.com/drive/folders/1LhC566F4jK6mQZ5Oj72ryL-kdGCaVyM2,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-1-bha-lotion-exfoliant,https://imgur.com/a/zlwIDCy,,,,,,,,,,,,,,,,,,,
121,9110,Calm Nourishing Cleanser Normal to Dry ,"PAULA'S CHOICE S?a r?a m?t d?u nh? ph?c h?i da, Da th??ng, da khô",PAULA'S CHOICE,198ml,"660,000",24 tháng,"CÔNG D?NG: 
S?a r?a m?t d?ng lotion d?u nh? làm gi?m ??m ?? dành cho da th??ng ??n da khô. Làm m?m vùng da cùng xóa b? l?p make up và v?t b?n trên da b?n.

– Dành cho da c?c kì nh?y c?m và có m?n ??.

– Dành cho da th??ng ??n da khô.

– Là m?t s?n ph?m ý t??ng cho nh?ng ai s? h?u làn da nh?y c?m.

– Làm s?ch hoàn toàn mà v?n gi? ???c v? m?n màng cho làn da b?n.

– Công th?c d?u nh? m?m m?n s? không khi?n cho làn da c?m th?y khô hay rát ng?a.

– S? d?ng nh? b??c ??u tiên trong quá trình ch?m sóc da c? ngày và ?êm.","H??NG D?N S? D?NG:
Làm ??t m?t và thoa m?t l??ng kem v?a ?? lên da ?ô?ng th??i massage nh? nhàng. Nê?u g??ng m??t ?ang co? l??p trang ?iê?m, ba?n nên kê?t h??p cu?ng sa?n phâ?m tâ?y trang PERFECT CLEANSING OIL ho??c GENTLE TOUCH MAKEUP REMOVER, cuô?i cu?ng r??a la?i v??i n???c sa?c",https://drive.google.com/drive/folders/1HHq0Z289Usv3QidV65RWqCc_p7WjxYRa,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-cleanser-dry-skin,https://imgur.com/a/xvLY10s,,,,,,,,,,,,,,,,,,,
122,9120,Calm Soothing Toner Normal to Dry ,"PAULA'S CHOICE  Toner làm d?u và ph?c h?i da , Da th??ng, da khô",PAULA'S CHOICE,118ml,"690,000",24 tháng,"CÔNG D?NG: 
???c ch?ng nh?n và phân ph?i v?i thông tin xu?t x? và h??ng d?n thông tin chi ti?t chính xác
Mang ?i du l?ch, dã ngo?i ??n gi?n v?i th? tích h?p lí ?? s? d?ng lâu dài
?u tiên s?n ph?m này cho làn da khó chi?u, t?n h??ng c?m giác t??i m?i
Gi?m thi?u nh?y c?m: Gi?m ??, t?ng c??ng tho?i mái và th? giãn làn da Ch?ng nh?n an toàn: 100% thành ph?n ???c ki?m nghi?m, không gây kích ?ng trên da H?p th? d??ng ch?t d? dàng: M?t l?n n?a làm s?ch da, ?? pH lí t??ng, c?i thi?n h?p thu thành ph?n có l?i vào da","H??NG D?N S? D?NG:
S? d?ng 2 l?n m?i ngày sau khi r?a m?t, thoa
nh? nhàng lên vùng da c? và m?t. V?i làn da
?ang m?t ?? cân b?ng pH, m?i s? d?ng s? có
c?m th?y h?i rát, sau m?t th?i gian s? thích nghi
d? dàng h?n",https://drive.google.com/drive/folders/1IYp5Yrl9ZYRlC1HBt6l4dkKK9E-9EhvY,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-toner-dry-skin,https://imgur.com/a/vKTiwqL,,,,,,,,,,,,,,,,,,,
123,9130,Calm Mineral Moisturizer Broad Spectrum SPF 30 (Normal to Dry) ,PAULA'S CHOICE  S?a d??ng ?m ban ngày ch?ng lão hóa SPF 30 -Da Khô,PAULA'S CHOICE,60ml,"980,000",24 tháng,"CÔNG D?NG:
M?t s?n ph?m tiên ti?n v?i c?u trúc kem có ch?a thành ph?n ch?ng n?ng t? khoáng ch?t và lo?i b? nguy c? gây ra d?u hi?u lão hóa t? b?c x? c?a m?t tr?i. ?ây là s?n ph?m kem d??ng ?m ch?ng l?i d?u hi?u lão hóa t?i ?u.

– C?c kì nh?y c?m có d?u hi?u lão hóa

– Dành cho da th??ng ??n da khô

– Thành ph?n ch?ng n?ng SPF 30 t? khoáng ch?t giúp b?o v? da

– Thành ph?n làm m?n chi?t xu?t t? th?c v?t, ch?t ch?ng lão hóa và chu?i axit amin giúp làm d?u da

– S? d?ng hàng ngày s? mang ??n b?n làm da t??i tr? r?ng r?

– S? d?ng nh? b??c cu?i cùng trong qui trình ch?m sóc da ban ngày","H??NG D?N S? D?NG:
V?i t?n su?t ra ngoài cao h?n, vi?c s? d?ng d??ng ngày k?t h?p ch?ng n?ng càng quan tr?ng. Không ch? v?y, l?u ý thoa l?p kem lên da nh? b??c cu?i cùng c?a quy trình ch?m sóc da tr??c 15 phút khi ra ngoài ?? t?i ?u công d?ng c?a s?n ph?m.",https://drive.google.com/drive/folders/1LXIYyyrCJ9edmoBs-RFfeBuZ-XzA5r60,Xu?t x? : M?,https://paulaschoice.vn/calm-mineral-moisturizer-spf-30-dry,https://imgur.com/a/p1lUwzV,,,,,,,,,,,,,,,,,,,
124,9140,Calm Restoring Moisturizer Normal to Dry ,"PAULA'S CHOICE Kem d??ng ?m ch?ng lão hóa, ph?c h?i làn da nh?y c?m. Da th??ng, da khô",PAULA'S CHOICE,60ml,"980,000",24 tháng,"CÔNG D?NG:
M?t s?n ph?m kem ?êm ch?ng l?i d?u hi?u lão hóa có ch?a công th?c d?u nh? cho da và ???c c?p ?m giúp c?i thi?n làn da r?ng r?, t??i tr? và xóa b? hoàn toàn s? xu?t hi?n c?a n?p nh?n.

– Dành cho da c?c kì nh?y c?m và có m?n ??.

– Dùng cho da th??ng ??n da khô.

– D??ng ch?t t? tinh d?u th?c v?t và ch?t ch?ng oxi hóa giúp làm m?n da.

– Làm giàu da b?n b?ng cách lo?i b? ?i m?n ?? và nh?y c?m.

– Ch?t kem m?m, m?n s? cho b?n l?p da r?ng r?.

– S? d?ng nh? b??c cu?i cùng c?a quy trình ch?m sóc da ban ?êm.","H??NG D?N S? D?NG:
M?t s?n ph?m lý t??ng cho vi?c làm m?m và
m?n da m?t, c? và vùng quanh m?t. Vào ban
?êm, s? d?ng nh? b??c cu?i cùng c?a qui trình
ch?m sóc da hàng ngày. Vào ban ngày, dùng
thêm s?n ph?m ch?ng n?ng có ch?a SPF 25
ho?c cao h?n.",https://drive.google.com/drive/folders/1Z9KB3-JJYsLuQLIrzaNL1InSCurLHf21,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-moisturizer,https://imgur.com/a/k1aWQJz,,,,,,,,,,,,,,,,,,,
125,9150,Calm Nourishing Cleanser Normal to Oily/Combination,PAULA'S CHOICE S?a r?a m?t d?u nh? ph?c h?i da,PAULA'S CHOICE,198ml,"660,000",24 tháng,"CÔNG D?NG:
- Lo?i b? b?i b?n, d?u th?a trên b? m?t da và bên trong sâu l? chân lông 
- Gi? cho da m?m m?n, không gây khô da 
- Duy trì trên da l?p màng ?m thích h?p cho da nh?y c?m

S?n ph?m c?c k? d?u nh? nh?ng l?i r?t hi?u qu?, làm s?ch tri?t ?? m?i t?p ch?t trên da, l?y ?i l??ng d?u th?a và l?p make up. ??c bi?t v?i công th?c lý t??ng s?n ph?m Nhanh chóng ph?c h?i màng b?o v? t? nhiên c?a da, mang t?i làn da m?n màng, thông thoáng.  Nh? ?ó, làn da tr? nên t??i m?i, r?ng ng?i nh? các ho?t ch?t t?i ?u hóa hi?u qu? làm s?ch mà v?n ??m b?o ?n ??nh cho da.

PHÙ H?P CHO LO?I DA:  T? da th??ng ??n da d?u có v?n ?? nh?y c?m","H??NG D?N S? D?NG:

S?a r?a m?t Calm cho da nh?y c?m thiên d?u ???c s? d?ng ??u ??n 2 l?n m?i ngày trong quy trình ch?m sóc da sáng t?i. B?t ??u b?ng vi?c làm ??t da m?t, sau ?ó l?y m?t l??ng v?a ??, thoa ??u toàn m?t nh? nhàng trong 1-2 phút và r?a l?i v?i n??c s?ch. Có th? k?t h?p cùng t?y trang lo?i b? l?p make up, b?i b?n.",https://drive.google.com/drive/folders/1DwxAbEskvZgCxD9C5P6t8YDQp2YH8qwe,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-cleanser-oily-skin,https://imgur.com/a/AGYKQbq,,,,,,,,,,,,,,,,,,,
126,9160,Calm Soothing Toner Normal to Oily/Combination ,PAULA'S CHOICE N??c hoa h?ng làm d?u và ph?c h?i da,PAULA'S CHOICE,118ml,"690,000",36 tháng,"CÔNG D?NG

- Nh? nhàng l?y ?i t? bào da ch?t già nua trên b? m?t, b? sung ?? ?m cho da
- Công th?c siêu ??c ?áo, giu?p ?n ??nh b? m?t da, sáng kho?e, t?ng c???ng ?ô? m?m m?n
- Ph?c h?p ch?t t?ng c??ng chiê?t xuâ?t t? th?c v?t, bao g?m trà xanh và ch?t keo t? lúa m?ch, nhanh cho?ng tái sinh làn da x?m màu, da b? m?t n??c, ?ng ??

CALM Redness Relief Toner giu?p la?m di?u la?n da dâ?u nha?y ca?m, da mâ?t n???c, loa?i bo? ti?nh tra?ng mâ?n ?o? di? ??ng kho? chi?u va? l?u la?i trên da ca?m gia?c thoa?i ma?i, mê?m m???t. Nh?? công th??c ch??a ca?c tha?nh phâ?n t?? th??c vâ?t cùng nhi?u ho?t châ?t chô?ng oxy ho?a tiê?m n?ng, sa?n phâ?m na?y hoa?n tha?nh tô?t nhiê?m vu? duy tri? s?? cân b??ng da, bô? sung ?ô? â?m nhanh cho?ng.

Lo?i da phù h?p: Da nh?y c?m (da d?u, da h?n h?p)","H??NG D?N S? D?NG

Sau khi r?a m?t, b?n ?? m?t l??ng nh? v?a ?? ra mi?ng bông t?y trang và nh? nhàng thoa lên
toàn b? khuôn m?t, vùng c?. Có th? th?c hi?n các b??c ch?m sóc da ngay sau ?ó. Khi s? d?ng vào ban ngày c?n ph?i dùng kèm kem ch?ng n?ng có ch? s? SPF 30 ho?c cao h?n.",https://drive.google.com/drive/folders/1xT9H9NxCc-8fv_gqHlBKs-F4tGlwe1QY,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-toner-oily-skin,https://imgur.com/a/JPCRjdI,,,,,,,,,,,,,,,,,,,
127,9170,Calm Mineral Moisturizer SPF 30 Normal to Oily/Combination,PAULA'S CHOICE S?a d??ng ?m ban ngày ch?ng lão hóa SPF 30,PAULA'S CHOICE,60ml,"980,000",36 tháng,"CÔNG DU?NG: 
- Thành ph?n ng?a tia n?ng có h?i t? m?t tr?i v?i SPF 30 t? khoáng ch?t giúp b?o v? da
- Nhanh cho?ng c?i thi?n nh?ng n?p nh?n sâu, s?m da, da không ??u màu
- ?o?ng vai tro? nh? b???c kho?a â?m cuô?i cu?ng trong chu tri?nh ch?m so?c da buô?i sa?ng.

Calm Mineral Moisturizer SPF 30 – Oil giúp t?ng c??ng ?? ?m cho da dâ?u thiê?u n???c, da nh?y c?m b?ng thành ph?n hydrat m?m m?i ??ng th?i b?o v? da kh?i nh?ng tác nhân hàng ngày t? ánh n?ng m?t tr?i. Bên ca?nh ?o?, sa?n phâ?m làm d?u ti?nh tra?ng ?ng ?? t? công th??c ly? t???ng chi?t xu?t t? th?c v?t, ch?t ch?ng oxy hóa và chu?i các axit amin; mang ??n cho b?n v? ngoài t??i tr? và kh?e m?nh. Nê?u s?? d?ng hàng ngày, các dâ?u hiê?u ?ng ?? do th??ng tô?n s? dâ?n biê?n mâ?t, c?i thi?n làn da nh?y c?m, gia?m thiê?u ca?c dâ?u hiê?u la?o ho?a.","H???NG DÂ?N S?? DU?NG
S? d?ng nh? b??c d??ng cu?i cùng trong quy
trình ch?m sóc da ban ngày. Thoa kem ch?ng
n?ng 15’ tr??c khi ti?p xúc tr?c ti?p v?i ánh
n?ng m?t tr?i. N?u b?n có k? ho?ch ?i b?i
ho?c ho?t ??ng ra m? hôi, b?n c?n s? d?ng
kem ch?ng n?ng lâu trôi.",https://drive.google.com/drive/folders/1KBFPhQnOLG8gvmNsOVk2g9--6E4vCnYn,Xu?t x? : M?,https://paulaschoice.vn/calm-mineral-moisturizer-spf-30-oily,https://imgur.com/a/BtuKge9,,,,,,,,,,,,,,,,,,,
128,9180,Calm Restoring Moisturizer Normal to Oily/Combination,"PAULA'S CHOICE Kem d??ng ?m ch?ng lão hóa, ph?c h?i da",PAULA'S CHOICE,60ml,"980,000",36 tháng,"CÔNG DU?NG
- Ph?c h?i và nuôi d??ng làn da, t?ng c??ng d??ng ch?t c?i thi?n tình tr?ng m?n ??, kích ?ng
- Câ?p â?m nhanh cho?ng, la?m gia?m ca?c dâ?u hiê?u la?o ho?a ?ô?ng th??i la?m mê?m nh??ng vu?ng da ??ng ?o? va? nha?y ca?m.
- Sa?n phâ?m na?y s?? du?ng nh? b???c kho?a â?m cuô?i cu?ng, hoa?n tâ?t viê?c duy tri? s?? â?m m???t trên da trong mô?t th??i gian da?i.

Kem d???ng â?m Calm Redness Relief Moisturizer (For Nomal To Oil) giúp làm d?u vùng da d?u và ?ng ??. V??i công th??c ???c biê?t co? s?? kê?t h??p c?a nh?ng thành ph?n siêu nh?, không gây bóng d?u, ch?t ch?ng oxi hóa d?u nh? và thành ph?n t?ng c??ng cho da, sa?n phâ?m na?y s? c?i thi?n rõ r?t c?u trúc da, ha?n chê? s?? xu?t hi?n c?a dâ?u hiê?u la?o ho?a.

Loa?i da phu? h??p: Da th???ng, da dâ?u, hô?n h??p thiên dâ?u","H???NG DÂ?N S?? DU?NG

Sau khi hoa?n tâ?t ca?c b???c ch?m so?c da tr???c ?o?, ba?n s?? du?ng mô?t l???ng nho? v??a ?u? sa?n phâ?m cho toa?n bô? m??t. Nê?u s?? du?ng va?o ban nga?y, câ?n pha?i kê?t h??p v??i kem chô?ng n??ng co? ch??a tha?nh phâ?n SPF t?? 30 tr?? lên.",https://drive.google.com/drive/folders/1ztj2ixyhy9Wfp_Dvs6BgWfQ0mIMaeYub,Xu?t x? : M?,https://paulaschoice.vn/calm-redness-relief-moisturizer-for-nomal-to-oil,https://imgur.com/a/wag4MtM,,,,,,,,,,,,,,,,,,,
129,9550,Peptide Booster,PAULA'S CHOICE Tinh ch?t làm s?n da ch?a Peptide,PAULA'S CHOICE,20ml,"1,599,000",24 tháng,"CÔNG DU?NG
S? h?u m?t làn da hoàn h?o v?i 8 peptide t?p trung s?c m?nh trong m?t s?n ph?m giúp da ?àn h?i h?n và gi?m s? xu?t hi?n c?a n?p nh?n
Ch?t Gel m?n, ngay l?p t?c ???c th?m hút vào da.
B?n có th? s? d?ng m?t mình ho?c thêm vào kem d??ng ?m ho?c serum.

M?i peptide h??ng ??n m?t m?c tiêu chính xác, giài quy?t các m?i lo ng?i trên làn da nh?:

– Thi?u ?? ?àn h?i

– Da x?n màu

– Da nhi?u n?p nh?n li ti và nh?n sâu

– Da thô ráp

– Da không ??u màu

– Da khô thi?u ?m.","H???NG DÂ?N S?? DU?NG
S? d?ng 1 – 2 l?n trong ngày, mô?i lâ?n nho? t?? 2-3 gi?t ra tay va? thoa ?ê?u lên m?t và c?. Ba?n có th? s? d?ng m?t mình ho?c k?t h?p cùng kem d??ng ?m hay serum. Ban ngày, luôn luôn s? d?ng cùng các s?n ph?m có thành ph?n ch?ng n?ng co? chi? sô? SPF i?t nhâ?t t?? 30 tr?? lên.",https://drive.google.com/drive/folders/1UBO8XHWMw-QAld4h5wX1L99Q1LHEMS-V,Xu?t x? : M?,https://paulaschoice.vn/peptide-booster,https://imgur.com/a/fOvsBUw,,,,,,,,,,,,,,,,,,,
130,9557,Peptide Booster - Trial,PAULA'S CHOICE Tinh ch?t làm s?n da ch?a Peptide - Lo?i nh?,PAULA'S CHOICE,5ml ,"429,000",24 tháng,"CÔNG DU?NG
S? h?u m?t làn da hoàn h?o v?i 8 peptide t?p trung s?c m?nh trong m?t s?n ph?m giúp da ?àn h?i h?n và gi?m s? xu?t hi?n c?a n?p nh?n
Ch?t Gel m?n, ngay l?p t?c ???c th?m hút vào da.
B?n có th? s? d?ng m?t mình ho?c thêm vào kem d??ng ?m ho?c serum.

M?i peptide h??ng ??n m?t m?c tiêu chính xác, giài quy?t các m?i lo ng?i trên làn da nh?:

– Thi?u ?? ?àn h?i

– Da x?n màu

– Da nhi?u n?p nh?n li ti và nh?n sâu

– Da thô ráp

– Da không ??u màu

– Da khô thi?u ?m.","H???NG DÂ?N S?? DU?NG
S? d?ng 1 – 2 l?n trong ngày, mô?i lâ?n nho? t?? 2-3 gi?t ra tay va? thoa ?ê?u lên m?t và c?. Ba?n có th? s? d?ng m?t mình ho?c k?t h?p cùng kem d??ng ?m hay serum. Ban ngày, luôn luôn s? d?ng cùng các s?n ph?m có thành ph?n ch?ng n?ng co? chi? sô? SPF i?t nhâ?t t?? 30 tr?? lên.",https://drive.google.com/drive/folders/1UBO8XHWMw-QAld4h5wX1L99Q1LHEMS-V,Xu?t x? : M?,https://paulaschoice.vn/peptide-booster,https://imgur.com/a/fOvsBUw,,,,,,,,,,,,,,,,,,,
131,9570, Hyaluronic Acid + Ceramide Dietary Supplement ,PAULA'S CHOICE Viên u?ng tr?ng da,PAULA'S CHOICE,H?p,"1,590,000",24 tháng,,,https://drive.google.com/drive/folders/1ySA3gQxJ7FAqzxPz0GOA-r-UESRII4j3,Xu?t x? : M?,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
